"Estimate","Std. Error","df","t value","Pr(>|t|)","term","score"
1.5479914880205,0.0339421179014154,126.982192248098,45.6068031027596,1.34773563691252e-80,"(Intercept)","IFNG_RESPONSE"
0.0169521561420074,0.0390708555782649,126.976843188359,0.433882388576048,0.665110148039091,"outcomeSurvivor","IFNG_RESPONSE"
-0.00609719397618351,0.0117737172757679,117.376094380798,-0.517864819867253,0.605527303652107,"day","IFNG_RESPONSE"
-0.00063112173938315,0.0135094225214522,116.867681019832,-0.0467171515570681,0.962818398149176,"outcomeSurvivor:day","IFNG_RESPONSE"
1.082765228737,0.0176281412313824,126.875428794796,61.4225410679946,3.04645075907566e-96,"(Intercept)","INFLAMMATORY_RESPONSE"
-0.0462003121509787,0.0202923702010639,126.856998989238,-2.27673316094719,0.0244772683334967,"outcomeSurvivor","INFLAMMATORY_RESPONSE"
-0.00753527856765039,0.00613747388659281,118.315326974358,-1.22774918588429,0.221978149071288,"day","INFLAMMATORY_RESPONSE"
0.00330509835986821,0.0070430621830229,117.865377310313,0.469270080822949,0.639743509758282,"outcomeSurvivor:day","INFLAMMATORY_RESPONSE"
1.63341973293486,0.0230390022094156,126.999999999172,70.8980240588419,5.33824462775252e-104,"(Intercept)","OXPHOS"
-0.0641686556528327,0.0265213895241382,126.999999998417,-2.41950579529139,0.0169582026533127,"outcomeSurvivor","OXPHOS"
-0.00822051450792516,0.00803293814998271,126.999999997974,-1.02335090280047,0.308087300852511,"day","OXPHOS"
0.0145308363751043,0.00921862387905298,126.999999999139,1.57624788317072,0.117456454248213,"outcomeSurvivor:day","OXPHOS"
